功能点 ID,功能名称,所属模块,飞书文档链接
recv7D8mS7vYpE,其他CRM对接,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/DY74wZlriiBbe0k0V9RjSRdopcb
recv7D8mS7mCDq,用户圈选引擎,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Jd7twpsIiiHGqJkgmbijI0tXpQg
recv7D8mS7kIKk,营销活动创建,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/LDd2wf6Ydic8XfkP3JGj9DrVpTO
recv7D8mS7vcVz,AB测试,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/NFMcwg8kLiCNNBkDor0j0wAupXg
recv7D8mS7F9Sh,触达-SMS,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/AjcmwaiPgiisErkiF6rjyJgppph
recv7D8mS7gl6m,触达-邮件,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/QBUVwcY2difqNPkSqHVjghFvpjf
recv7D8mS7dGwu,触达-Push,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Aj0dwn7QAiUMjmkG3a4jyQTfppx
recv7D8mS7bBPY,触达-RCS,CRM系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/OSRlwseOiikYQZk9f7SjQ3aHpEb
recv7D8msMjPKn,站内信,客服系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/SOVRwUE59iOnJlk0hcNjD6rSpib
recv7D8msMrc4O,C端客服入口,客服系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/BDkUwtifEiRYjMkUueCjbAKYpHc
recv7D8msMcCsE,FAQ管理,客服系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/HtqfwYo1kijEcIkcsrejrNpYpGe
recv7D8msMZ3SM,VIP客服,客服系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/AWNjwzeDOieOw2k9PIFjSw4Xp0c
recv7D8mS7rV3h,活动参数配置,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/SPq4w9jpVixTmvkIJGrj14sMpAf
recv7D8mS7clGI,活动模版,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/NuyawaCJfi4MBzkZ904jyvCLpOh
recv7D8mS7ySTR,返水机制,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/AlUkwUNIniURGVkYtlAjRf2opqg
recv7D8mS7TIA7,Superodds,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Pd6uwY2U7iNYPlkFweLjK0fypzc
recv7D8mS7Ez6S,串关加赔,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/FJcewirmjiRPl0k3hxPjnrYEptc
recv7D8mS7HCd5,0-0退赔,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/ZeF4wJeMFiXog1kooN1jJHpRpGh
recv7D8mS7741u,营销入口配置,活动系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Q38Vwrsqui5mtxkPszcjDKDBpMe
recv7D8mS7SsQU,Bonus创建,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Dyi2wAZx2iBrtTk4tAfjJXEdpVe
recv7D8mS7tkBN,Freebet创建,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/OZ8UwgbuiiPzMxk2JOHjYNbQpne
recv7D8mS7TSeC,礼券发放,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/KWfYwYDkri83Uzkbm6DjqQEEppR
recv7D8mS7QBdb,礼券核销,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/TGrIwPCWRiufzWkmaYWjQ8TLpKb
recv7D8mS7X5Tt,Freespin创建,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/OPunwLU4wixFqRkJ2HMjT5TXpUd
recv7D8mS7U2ry,有效期管理,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Wci5wrLGjiB2RekvnZWjNjKlpTv
recv7D8mS7cWUs,余额查询,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/B8CDwaFnDi4Jgnk31tNjEQZ0pgb
recv7D8mS7hQ4b,使用记录,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Vkz5w5dD5iM9wrkmov8j7VJ7pef
recv7D8mS7S57P,批次管理,礼券系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Wje9wAvHbiIgklknJ8djXYrdpWe
recvaex4RoB0We,FAQ,内容管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/VUUlwM8l8ivP8ukzQ5BjrhjOp5b
recv7D8mS7WwG2,公告管理,内容管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/O5LNwvwyziFhS2kRDsljaERUpqf
recv7D8mS7MO1d,Banner管理,内容管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/McRlwr28aib8i6kER49jzFkmpge
recv7D8mS7LSNd,文章系统,内容管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/KUcNwYCkIik8rlkiRzUjfFMrpWf
recv7D8msMoUAK,系统分享,分享系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/JJuGwtt5xi2vLYkWjT9jBkRbpVe
recv7D8msM72cH,三方分享,分享系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/RNiuw154wiEhmxk9rlLj4hwJppg
recv7D8msM8ps9,图片分享,分享系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Gg2cwDMQmiuQd6kWX1SjHFzjpUh
recv7D8msMmBEu,分享场景,分享系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/QoWAwL4Vyi8tR8kCkqVjfG7gpPc
